# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,5,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 10:46:50,2018-03-12 11:01:50,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,6,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 14:16:51,2018-03-12 14:57:05,00:40:14,Test returned unknown error code: 3,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0/1,7,PCIe 2696 Link Width Test - ThunderboltController 0,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 18:49:06,2018-03-12 18:49:07,00:00:00,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0/1,8,PCIe 2696 Link Width Test - ThunderboltController 0,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 18:53:43,2018-03-12 18:53:44,00:00:00,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0/1,9,PCIe 2696 Link Width Test - ThunderboltController 0,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 19:41:07,2018-03-12 19:41:08,00:00:00,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP05/1,10,PCIe 2696 Link Width Test - pciRootPort RP05,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 19:42:39,2018-03-12 19:42:39,00:00:00,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0/1,11,PCIe 2696 Link Width Test - ThunderboltController 0,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 12:14:21,2018-03-13 12:14:22,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0/1,12,PCIe 2696 Link Width Test - ThunderboltController 0,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 13:20:58,2018-03-13 13:20:59,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 0
