# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 12:15:16,2018-03-12 12:30:16,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,2,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 15:43:09,2018-03-12 16:23:24,00:40:15,Test returned unknown error code: 3,
FAIL,intel_boot_checks/SMC 3204 Shutdown Cause Check/1,3,SMC 3204 Shutdown Cause Check,0,0,0,0,"""(null)""",(null),14,0,0,2018-03-12 21:56:59,2018-03-12 21:56:59,00:00:00,STOP_CAUSE_NINJA_SHUTDOWN_CODE = -61  0xC3,
