# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,5,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 12:27:05,2018-03-12 12:42:05,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,6,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 15:54:22,2018-03-12 16:34:39,00:40:17,Test returned unknown error code: 3,
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,7,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 20:40:54,2018-03-12 20:41:06,00:00:11,Trained link width does not match specification,
FAIL,link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1/1,8,PCIe 2696 Link Width Test - ThunderboltController 1,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 13:12:39,2018-03-13 13:12:40,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - ThunderboltController 1
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,9,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-13 13:14:13,2018-03-13 13:14:14,00:00:00,Trained link width does not match specification,link_width_tests/link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09
