# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 10:30:48,2018-03-12 10:45:49,00:15:00,Exceeded Temperature Threshold,
FAIL,display/BacklightController 4248 Fault Detection/1,2,BacklightController 4248 Fault Detection,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 12:38:55,2018-03-12 12:40:15,00:01:20,Recoverable Error Detected,
FAIL,MacEFITests/Display 8118 Power Up MCU operation Diag Test,3,Earthbound,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:49:35,2018-03-13 02:49:35,00:00:00,Monterey Image Subtest Failed,
