# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 04:29:38,2018-03-12 04:44:39,00:15:00,Exceeded Temperature Threshold,
FAIL,display_test_no_aspm/Display 4120 Banksia TCON and DRAM Bist Suite/1,2,Display 4120 Banksia TCON and DRAM Bist Suite,0,0,0,0,"""(null)""",(null),-1,0,0,2018-03-12 06:41:29,2018-03-12 06:42:05,00:00:36,System Error,
FAIL,tapp/System 8000 TAPP Power/1,3,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 07:53:12,2018-03-12 08:33:28,00:40:15,Test returned unknown error code: 3,
