# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,5,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 13:35:16,2018-03-12 13:50:17,00:15:00,Exceeded Temperature Threshold,
FAIL,display_test_no_aspm/Display 4120 Banksia TCON and DRAM Bist Suite/1,6,Display 4120 Banksia TCON and DRAM Bist Suite,0,0,0,0,"""(null)""",(null),-1,0,0,2018-03-12 15:48:03,2018-03-12 15:48:40,00:00:37,System Error,
FAIL,tapp/System 8000 TAPP Power/1,7,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 17:00:50,2018-03-12 17:41:05,00:40:15,Test returned unknown error code: 3,
TIMEOUT,coordinated_G3S_Wifi_TriggerWake/Transition Intel into G3S/3,8,Transition Intel into G3S,0,0,0,0,"""/usr/bin/pmset sleepnow""",com.apple.osdiags.earthbound,-2,0,0,2018-03-13 18:40:59,2018-03-13 18:41:34,00:00:35,/usr/bin/pmset sleepnow timed out,coordinated_G3S_Wifi_TriggerWake/coordinated_G3S_Wifi_TriggerWake/Transition Intel into G3S
FAIL,coordinated_G3S_Wifi_TriggerWake/Wait for ARM to sleep/3,9,Wait for ARM to sleep,0,0,0,0,"""/usr/local/bin/OSDPowerStateMonitor monitor --timeout 310 --desiredIntel 5""",(null),3,0,0,2018-03-13 18:44:42,2018-03-13 18:49:53,00:05:10,Process 3930 exited with code 3,coordinated_G3S_Wifi_TriggerWake/coordinated_G3S_Wifi_TriggerWake/Release Idle Sleep Assertion/Wait for ARM to sleep
