# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 07:11:18,2018-03-12 07:26:19,00:15:00,Exceeded Temperature Threshold,
FAIL,display/BacklightController 4248 Fault Detection/1,2,BacklightController 4248 Fault Detection,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 09:18:33,2018-03-12 09:19:53,00:01:19,Recoverable Error Detected,
FAIL,tapp/System 8000 TAPP Power/1,3,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 10:38:49,2018-03-12 11:19:03,00:40:14,Test returned unknown error code: 3,
FAIL,MacEFITests/Display 8118 Power Up MCU operation Diag Test,4,Earthbound,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-12 22:57:12,2018-03-12 22:57:12,00:00:00,Monterey Image Subtest Failed,
