# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,5,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 10:16:12,2018-03-12 10:31:13,00:15:00,Exceeded Temperature Threshold,
TIMEOUT,coordinated_sleep_S0i/Transition Intel into S0i/11,6,Transition Intel into S0i,0,0,0,0,"""/usr/bin/pmset sleepnow""",com.apple.osdiags.earthbound,-2,0,0,2018-03-13 08:01:40,2018-03-13 08:02:15,00:00:35,/usr/bin/pmset sleepnow timed out,coordinated_sleep_S0i/coordinated_sleep_S0i/Transition Intel into S0i
FAIL,coordinated_sleep_S0i/Wait for ARM to sleep/11,7,Wait for ARM to sleep,0,0,0,0,"""/usr/local/bin/OSDPowerStateMonitor monitor --timeout 310 --desiredIntel 1""",(null),3,0,0,2018-03-13 08:05:03,2018-03-13 08:10:14,00:05:10,Process 574 exited with code 3,coordinated_sleep_S0i/coordinated_sleep_S0i/Release Idle Sleep Assertion/Wait for ARM to sleep
