# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,9,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 11:05:35,2018-03-12 11:20:36,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,10,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 14:34:23,2018-03-12 15:14:40,00:40:17,Test returned unknown error code: 3,
FAIL,Wildfire/BatteryFullyChargedTest: StateOfCharge/Iteration 1,11,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:46:52,2018-03-13 05:46:36,02:59:44,Exceeded lower limit 100,
FAIL,Wildfire/BatteryVoltageImbalancedTest: StateOfCharge/Iteration 1,12,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:46:52,2018-03-13 05:46:36,02:59:44,Exceeded lower limit 100,
FAIL,Wildfire/BatteryFullyChargedTest/Iteration 1,13,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:46:52,2018-03-13 05:46:36,02:59:44,...ppleInternal\Diags\Logs\Smokey\Wildfire\J132\Battery.lua:329: Battery state of charge precondition was not met,
FAIL,Wildfire/BatteryVoltageImbalancedTest/Iteration 1,14,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:46:52,2018-03-13 05:46:36,02:59:44,...ppleInternal\Diags\Logs\Smokey\Wildfire\J132\Battery.lua:329: Battery state of charge precondition was not met,
