# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,5,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 11:11:44,2018-03-12 11:26:44,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,6,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 14:40:12,2018-03-12 15:20:26,00:40:13,Test returned unknown error code: 3,
TIMEOUT,coordinated_sleep_G3S/Transition Intel into G3S/15,7,Transition Intel into G3S,0,0,0,0,"""/usr/bin/pmset sleepnow""",com.apple.osdiags.earthbound,-2,0,0,2018-03-13 13:56:41,2018-03-13 13:58:54,00:02:12,/usr/bin/pmset sleepnow timed out,coordinated_sleep_G3S/coordinated_sleep_G3S/Transition Intel into G3S
FAIL,coordinated_sleep_G3S/Wait for ARM to sleep/15,8,Wait for ARM to sleep,0,0,0,0,"""/usr/local/bin/OSDPowerStateMonitor monitor --timeout 310 --desiredIntel 5""",(null),3,0,0,2018-03-13 14:00:56,2018-03-13 14:06:06,00:05:10,Process 3246 exited with code 3,coordinated_sleep_G3S/coordinated_sleep_G3S/Release Idle Sleep Assertion/Wait for ARM to sleep
