# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,9,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 10:03:45,2018-03-12 10:18:46,00:15:00,Exceeded Temperature Threshold,
FAIL,Wildfire/BatteryFullyChargedTest: StateOfCharge/Iteration 1,10,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:04:15,2018-03-13 04:46:51,02:42:36,Exceeded lower limit 100,
FAIL,Wildfire/BatteryVoltageImbalancedTest: StateOfCharge/Iteration 1,11,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:04:15,2018-03-13 04:46:51,02:42:36,Exceeded lower limit 100,
FAIL,Wildfire/BatteryFullyChargedTest/Iteration 1,12,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:04:15,2018-03-13 04:46:51,02:42:36,...ppleInternal\Diags\Logs\Smokey\Wildfire\J132\Battery.lua:329: Battery state of charge precondition was not met,
FAIL,Wildfire/BatteryVoltageImbalancedTest/Iteration 1,13,Wildfire Sequence,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 02:04:15,2018-03-13 04:46:51,02:42:36,...ppleInternal\Diags\Logs\Smokey\Wildfire\J132\Battery.lua:329: Battery state of charge precondition was not met,
