# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 12:24:39,2018-03-12 12:39:40,00:15:00,Exceeded Temperature Threshold,
FAIL,display/BacklightController 4248 Fault Detection/1,2,BacklightController 4248 Fault Detection,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 14:32:00,2018-03-12 14:33:20,00:01:20,Recoverable Error Detected,
FAIL,tapp/System 8000 TAPP Power/1,3,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 15:52:53,2018-03-12 16:33:07,00:40:13,Test returned unknown error code: 3,
FAIL,MacEFITests/Display 8118 Power Up MCU operation Diag Test,4,Earthbound,0,0,0,0,"""XPC_PDCAImport""",(null),1,0,0,2018-03-13 04:17:36,2018-03-13 04:17:36,00:00:00,Monterey Image Subtest Failed,
