# Test Action Result,PDCA Key,Test Number,Name,Retry,Iteration,Iteration Retry,Action Number,Command,domain,Status Code,Action Retry,Ignored,Start Time,End Time,Time Elapsed,Failure Message (optional),Test Path
FAIL,thermalinterface/ThermalInterface 3664 DTS Accuracy Test/1,1,ThermalInterface 3664 DTS Accuracy Test,0,0,0,0,"""(null)""",(null),2,0,0,2018-03-12 07:14:37,2018-03-12 07:29:38,00:15:00,Exceeded Temperature Threshold,
FAIL,tapp/System 8000 TAPP Power/1,2,System 8000 TAPP Power,0,0,0,0,"""(null)""",(null),3,0,0,2018-03-12 10:42:26,2018-03-12 11:22:43,00:40:17,Test returned unknown error code: 3,
FAIL,link_width_tests/PCIe 2696 Link Width Test - pciRootPort RP09/1,3,PCIe 2696 Link Width Test - pciRootPort RP09,0,0,0,0,"""(null)""",(null),1,0,0,2018-03-12 13:43:54,2018-03-12 13:44:06,00:00:11,Trained link width does not match specification,
